epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.987,0.88828,0.80422,1.04204,0.6599,0.46667,0.46375,0.29752,1.52452,2.18702,1.55332,0.00048,0.00048,0.00048
2,408.412,0.98447,0.86901,1.08796,0.70903,0.62667,0.67452,0.43257,1.38798,1.56127,1.33657,0.00078596,0.00078596,0.00078596
3,604.084,1.07737,0.96929,1.12589,0.63465,0.60223,0.57773,0.39346,1.3413,1.74901,1.30657,0.00089392,0.00089392,0.00089392
4,803.37,1.16685,1.07828,1.16786,0.69836,0.64,0.64027,0.43031,1.26434,1.58452,1.19397,0.00080388,0.00080388,0.00080388
