epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.079,1.1962,1.25933,1.21589,0.81982,0.6,0.67233,0.46026,1.18614,1.50807,1.17515,0.00048,0.00048,0.00048
2,353.97,1.21624,1.23161,1.21871,0.72384,0.54667,0.58643,0.38127,1.33887,1.75531,1.27574,0.00078596,0.00078596,0.00078596
3,527.219,1.27343,1.31159,1.27603,0.49262,0.58667,0.5084,0.32224,1.52027,1.92969,1.48528,0.00089392,0.00089392,0.00089392
4,701.445,1.33093,1.37758,1.28312,0.74513,0.53333,0.59337,0.41024,1.3477,1.708,1.26204,0.00080388,0.00080388,0.00080388
5,873.93,1.2829,1.30804,1.27757,0.77436,0.6,0.6565,0.4445,1.26017,1.60763,1.21606,0.000416,0.000416,0.000416
