epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.118,1.02915,0.98869,1.11836,0.61252,0.61333,0.60532,0.38642,1.33055,1.628,1.31859,0.00048,0.00048,0.00048
2,353.005,1.22935,1.28686,1.23018,0.60741,0.57766,0.58261,0.37805,1.43592,1.79473,1.34508,0.00078596,0.00078596,0.00078596
3,525.774,1.26124,1.33992,1.25042,0.60648,0.48,0.49842,0.32641,1.40276,1.86056,1.28728,0.00089392,0.00089392,0.00089392
4,699.739,1.31431,1.35557,1.2707,0.61386,0.48757,0.50905,0.31487,1.59489,1.92175,1.51289,0.00080388,0.00080388,0.00080388
5,873.328,1.32273,1.3532,1.30369,0.67937,0.59334,0.6276,0.4016,1.32707,1.59282,1.33414,0.000416,0.000416,0.000416
