epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.945,1.35499,1.68461,1.30529,0.587,0.53333,0.50652,0.30979,1.46676,2.23424,1.38328,0.00048,0.00048,0.00048
2,372.103,1.43433,1.61826,1.34463,0.37634,0.53333,0.41573,0.26294,1.3989,5.31242,1.3207,0.00078596,0.00078596,0.00078596
3,555.877,1.49341,1.62066,1.38615,0.4761,0.50667,0.45729,0.25821,1.58025,2.46903,1.36658,0.00089392,0.00089392,0.00089392
4,738.974,1.44833,1.59352,1.37075,0.65081,0.45333,0.48861,0.32125,1.35623,2.79233,1.2478,0.00080388,0.00080388,0.00080388
5,921.152,1.38957,1.47408,1.35777,0.8422,0.56935,0.6441,0.44109,1.19631,1.59686,1.18148,0.000416,0.000416,0.000416
