epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.854,1.00904,1.00131,1.11226,0.66104,0.62667,0.57564,0.38957,1.33943,1.66221,1.30588,0.00048,0.00048,0.00048
2,353.309,1.06573,1.05159,1.12889,0.6567,0.53565,0.5755,0.35539,1.51314,1.65304,1.41517,0.00078596,0.00078596,0.00078596
3,544.355,1.18742,1.15936,1.18959,0.65639,0.62667,0.61101,0.39585,1.44536,1.86648,1.30139,0.00089392,0.00089392,0.00089392
4,738.566,1.27449,1.22625,1.23069,0.70872,0.55157,0.56767,0.3822,1.29992,1.93038,1.27254,0.00080388,0.00080388,0.00080388
5,938.235,1.25454,1.22216,1.24889,0.65553,0.58667,0.60535,0.40489,1.37811,1.589,1.40458,0.000416,0.000416,0.000416
