image_name,confidence_value,IoU_value
IMG_1234.jpg,0.8569255471229553,0.5465322732925415
IMG_1243.jpg,0.9719640612602234,0.9490421414375305
IMG_1263.jpg,0.9617750644683838,0.8933207392692566
IMG_1284.jpg,0.0,0.0
IMG_20100101_031404.jpg,0.7907233238220215,0.8064645528793335
IMG_20100101_032415.jpg,0.9151055812835693,0.8381356000900269
IMG_20100101_032553.jpg,0.5506424307823181,0.0
IMG_20100101_033113.jpg,0.8747222423553467,0.9400076866149902
IMG_20100101_033117.jpg,0.7506094574928284,0.8841163516044617
IMG_20100101_033559.jpg,0.7948046922683716,0.8773301243782043
IMG_20100101_033637.jpg,0.9499068260192871,0.0
IMG_20180713_104842.jpg,0.8811209201812744,0.8802017569541931
IMG_20180713_110324.jpg,0.82608962059021,0.5946148633956909
IMG_20180714_103949.jpg,0.969543993473053,0.8635209202766418
IMG_20180717_120957.jpg,0.9026742577552795,0.0
IMG_20180717_122754.jpg,0.9679286479949951,0.9147222638130188
IMG_20180719_123752.jpg,0.8087863922119141,0.9436239004135132
IMG_20180719_143723.jpg,0.9139736294746399,0.9460350871086121
IMG_20180720_142111.jpg,0.788489043712616,0.5312353372573853
IMG_20180720_142558.jpg,0.41713500022888184,0.7910247445106506
IMG_20180720_142731.jpg,0.8627256751060486,0.8962098360061646
IMG_20180720_143100.jpg,0.9191398620605469,0.8703925013542175
IMG_20180721_090127.jpg,0.8235465288162231,0.9114012122154236
IMG_20180721_091732.jpg,0.7615029215812683,0.8568095564842224
IMG_20180723_123134.jpg,0.8935447335243225,0.853922963142395
IMG_20180723_123154.jpg,0.6737001538276672,0.7743210792541504
IMG_20180723_123302.jpg,0.9214242100715637,0.0
IMG_20180724_121309.jpg,0.7884854674339294,0.34049224853515625
IMG_20180724_121832.jpg,0.9477691650390625,0.9276720881462097
IMG_20180724_121957.jpg,0.8376122713088989,0.3525557219982147
IMG_20180724_123021.jpg,0.0,0.0
IMG_20180724_125716.jpg,0.9517150521278381,0.9300678968429565
IMG_20180724_150928.jpg,0.9145121574401855,0.9379803538322449
IMG_20180725_122016.jpg,0.8494296669960022,0.9081841707229614
IMG_20180725_122619.jpg,0.6577275395393372,0.8708249926567078
IMG_20180726_122652.jpg,0.9586705565452576,0.8866247534751892
IMG_20180810_092723.jpg,0.9375633597373962,0.7717982530593872
IMG_20180810_093037.jpg,0.8675971627235413,0.8931586742401123
IMG_20180810_093330.jpg,0.8327325582504272,0.8971425890922546
IMG_20180811_083610.jpg,0.9193563461303711,0.836676836013794
